dav,swa
Odenizera kawona kwawekunda diendanye kuche mapema.,Aliniambia kama unataka tuende pamoja ukuje mapema.
Misarigho niro kuko naro nyingi,Michezo ndo uko nayo mingi
Waweneka wandu magome lii?,Anapatiana watu pesa lini?
Leka chingilila aho kupotoka,Acha kumbebea apo utaanguka
Nadamduka sa mwana mtini,Huwa nambeba kama dadangu mdogo
Oka na lumenyo sa kii,Ako na madharau kama nini
Wawanga mwana wape irina japo,Aliita mtoto wake jina langu
Wikiria vanga va bemba viwuro,Ekelea mahindi motoni iive
Okulwa wakunyora mdinyi,Alipatwa amejinyonga kwa mti
Sidimagha nifushe mndwawomi wapo waya,Siwezi aibisha mume wangu
Idime yaka wada kwadeka nadime?,Leo umekuwa aje ukapika mchana?
Mfu ghwa msara ghwasia,Unga wa ugali umeisha
Shiti ya mzedu echorwa boi,Shiti ya kwetu ilichorwa paka
Nikopeshere majani gha chai gha ikumi,Nikopeshe majani ya chai ya shilingi kumi
Nedeenda zighana mkongo wughangenyi.,Nilienda kuangalia mgonjwa hospitali
Kedi wei wacha nikotea kama nwona mumi waro.,Ati amekuja kuniuliza kama niliona mume wake
Nechi nekuzerieghe kuseeende mkotia ilagho jingi,Si nilikuambia usiende kumuuliza kitu chochote
Walegha kushoa mbande.,Amekataa kuchukuwa kuni
Matuku gha kitoi ni mrongo ina,Siku za mwizi ni arobaini
Wadanikaba toe ukakua sidekie,Huwa ananipiga akipata sijapika
Ini nilole posho sena niwuye nideke?,Mimi nitafuta chakula tena nirudi nipike?
Ghenda kwaza kuzighane ngera wawayo okwaeni.,Enda ukaangalie kama nyanyako yuko
Nasighwa kutineri nimerie,Nimebaki kidogo nimalize
Waweghora loli.,wanasema ukweli.
Kwabonya wada mkonu?,Umefanya nini mkono?
Kwazerwa ni Nyange kumneke maghana awi.,Umeambiwa na Nyange umpatie mia mbili.
Nechi wenekelo magome icho hata wiki ndeisirie,alipatiwa pesa juzi ata wiki haijaisha.
Wanizera nimneke chadu chapo.,Ameniambia nimpatie kiatu changu.
Idime sidimagha kucha nyumbenyi mpaka kesho.,Leo siwezi kuja nyumbani mpaka kesho
Reda machi na kikombe ninyo,Leta maji na kikombe ninywe
Kumanyana na wandu kwadatesia,Kujuana na watu inasaidia.
Wesighana na mumi wake ukawuya mzawo,Aliachana na mume wake akarudi kwao.
Mswara ghwa ikwau ghwavunda,Sima ya jana imeharibika
Namneka nguwo yapo uro.,Nimempatia nguo yangu avae
Nawekunda nilale nadime.,Ninataka nilale mchana.
Kalamu yapo ndeiweandika.,Kalamu yangu haiandiki.
Shoa mzata kunekerie wawayo,Chukua mkongojo upatie babu yako
Wawayo waghosia nandighi,Babu amezeeka sana
Agatha owukwa ni isu,Agatha aliamkwa na wazimu
Wadasumbulwa ni ikoa.,Aanasumbuliwa na kukohoa.
Koka na lumenyo na lukaso,Uko na madharau na maringo sana
Waenjero Wusi.,Alipelekwa Wusi.
Magho ghawebarwa modenyi,Mawe ayanapasuliwa mtoni
Mapemba ghacha.,Mhindi imekuja.
Raeli ndouichi mwana wake.,Raeli hajui mtoto wake.
Chovu raida itakoni hata nderivikie kula,Ndovu zimepita sai ata hazijafika mbali
Wakio oka mkongo.,Wakio ni mgonjwa.
Odeghora ureda mnyango idime,Alisema ataleta mlango leo
Onireda mpaka nyumbenyi,Alinileta hadi kwa nyumba
Oghora wei ughu mwaka ugua igare,Alisema huu mwaka atanunua gari
Waweghesha wei malagho ghadaka ghianguye,Anadhani mambo hukua rahisi
Simkunde kavui na inmoni.,Simtaki karibu na mimi
Nienda sukulu baadaye,Nitaenda shuleni baadae
Oiwilwa magome ghake ghose,Aliibiwa pesa zake zote
Kwakii kwazera mghosi huwo?,Kwanini umeambia mzee hivyo?
Kapatwa ni shida niko kuwuyagha kodu,Ukipatwa na shida ndio hua unarudi kwetu
Kwaweghala lii mzenyu?,Unaenda kwenu lini?
Netumia magome kisha,Nilitumia pesa vibaya
Ini mundungi usenineke magome nimwikie.,Mimi mtu asinipee pesa nimuekee
Mae oka na Ikanisa Woi,Mamake ako na kanisa voi
Danu wawebonya kii uselowue?,Sasa anafanya nini hajaoa?
Wanekwa kila kilambo chake uende nacho.,Amepatiwa kila kitu chake uende nacho.
Ini siweghesha kubonya ilagho jingi,Sifikirii kufanya jambo lolote
Reli eidia Makongenyi,Reli ilipitia Makongeni
Mngulu odu waturulwa turulwa putu ni wadudu.,Maha yetu imetobolrwa tobolewa kabisa na wadudu.
Naweenda kupoiswa wushu ghwapo.,Ninaenda kutengenezwa uso yangu.
Neko na Jesu nisowa kii?,Nikona Yesu nitakosa nini?
Kwawesikira nicha itanaa?,Uunajihisi vizuri sasa?
Siwekusunga kungi ini leka nibonye ghapo,Sikufuatilii mambo yako acha nifanye yangu
Uwu kwanekwa kilambo chochose chiboie?,Hivi umepatiwa kitu chochote kizuri?
Ndekuna kilambo chinizamiagha sa tee,Hakuna kitu huniudhi kama uongo
Waweagha nyumba na matofali,Anajenga nyumba na matofali
Kwasikire luja lumbo nikudumie?,Ulisikia nyimbo niliyokutumia?
Nekunda kuenda gua machi,Nataka kuenda kununua maji
Wadadiuzira vilambo vake gali,Hhua anatuuzia vitu vyake ghali
Wadadiwona wei deko na magome,Hua anatuona tuko na pesa
Dikaie ainyaha diwone ubonya wada,Tukae hapa tuone atafanya nini
Leka nishome ihi barua kwaza,Acha nisome hii barua kwanza
Kwangalangala sa kilole.,Unameremeta kama kioo.
Siwekunda ugho wulongozi.,Sitaki huo uongozo
Kwabonya wada kwani kusekunde kugala mzenyu?,Umefanya nini hutaki kuenda kwenu?
Naja vindo vizamie,Nnimekula chakula imeoza
Nasikira kilambo chanikakadia singo.,Nahisi kitu imekwama kwa shingo
Kwalemwa kufuma wulinyi?,Umeshindwa kutoka kitandani?
Mka obuka gafwa ima,Mke alimea kidevu
Wadakaba wandu tiki,Hhua anapiga watu sana
Koshi rake rebia radima kukuluma,Mbwa zake ni kali zinaweza kukuuma
Kila kilambo charedwa putu,Kila kitu kimeshaletwa tayari
Nngienyi mzighane ngera nio moni,Ingieni ndani muangalie kama ni yeye
Oke mufunike shuka,Hebu mufunue shuka.
Kwaki wangia wandu wadadu wieka?,Kwanini wameingia watu watatu peke yao?
Nakudumie magome kwaghiwona loli?,Nilikutumia pesa umeziona kweli?
Nemzera itanaha sidimagha kumdumia kindo chingi,Nilimuambia sai siwezi kumtumia chochote
Sikundagha kudwalwa sa ikelu,Hua sipendi kubebwa kama mjinga
Nokumoni Bwana kunifunyagha kwa agha matimo,Ni wewe tu Bwana utanitoa kwa haya majaribu.
Dedenywa chofi dikaawongea.,Tulikunywa pombe tukalewa
Kufuma naketi aha siwukie,Kutoka nikwti apa sijainuka
Wedeghora waweenda mfunya ofisinyi,Walisema wanaenda kumtoa ofisini
Oiwa magome gha wandu na kagala mzawo,Aliiba pesa za wenyewe na akaenda kwao
Oka kitoi zaidi hata waiwie maye ikwau,Ni mwizi sana ata aliibia mama yake jana
Ndeutumiagha akili yake sarimu,Hhua hatumii akili yake saa zingine
Uhu dalegha si Mdawida ungi,Huyu tumekataa si Maita
Walegha kunineka vilambo vapo,Amekataa kabisa kunipatia vitu zangu
Nekunda uwuse namba yake usho yapo,Nataka anipatie namba yake nimpe yangu
Wakundane sana hata ndewisighanagha anduangi,Wanapendana sana hua hawaachani popote
Kogua boi wa chilu wele?,Ulinunua paka mweusi kwani?
Neka boi mariwa unyo,Patia paka maziwa anywe
Wuka naighu niale wuli,Amka nitandike kitanda
Ukaka na magome ndenigheshagha.,Akiwa na pesa hua hanikumbuki
Kufuma imbe nawemlola kweli,Kutoka kitambo namtafuta sana
Wadaghesha wei nadakunda magome ghawo,Hua anafikiria napenda pesa zao
Nesinda kunda kughora lukundo lwachua,Nilikua nataka kusema upendo umekua mwingi
Nguwo yake yarashuka ukikimbia,Nguo yake imepasuka akikimbia
Ndeunidumie magome ghangi,Hajanitumia pesa zozote
Ni lazima diide ughu mtihani,Nni lazima tupite huu mtihani
Mwanidu nifuye wughoma,Ndugu yangu nisamehe.
Mundu kakosa wadarumiria makosa ghake,Mtu akikosea hua anakubali makosa yake
Kwabonya kisaya kudia agho machi,Uumefanya vibaya kumwaga hayo maji
Agho machi ghaelee ghenywa,Hhayo maji ni masafi ya kunywa
Wandu wazoya kubora ikanisenyi,Watu wameanza kuimba kanisani
Mruke nagho ghwazidi,Joto nalo limekua jingi
Kuiwa ndekuboie wana wapo,Kuiba hakufai watoto wangu
Bara rapo rawuya ra chilu,Mapaja zangu zimerudi nyeusi
Naboilwa nakutesia dada,Nimefurahi nimekusaidia dada
Namanya kwasilwa.,Ninajua umechoka.
Charo ichi ni kilacha kuje nicha,Mwendo hu ni mrefu ukule vizuri
Nakorwa ni iruwa paka nawuya wa chilu,Nimechomwa na jua ata nimerudi mweusi
Nechi nokumoni kunighirie nisekeenda,Si ni wewe uliniambia nisiende
Ghenda kuzere mkwako uniredie ndagha yapo,Nenda kamwambie bibi yako aniletee kisu changu
Nani uko mnyangonyi?,Nani ako mlangoni mlango?
Wanizamia idime usefundishire kilambo chingi,Ameniudhi leo hajafundisha chochote
Dikakaiya diwose na dimwange uche aha,Tukikaa sote tumuite akuje hapa
Wanikaba na ngonde ra mghongo,Amenipiga na ndondi za mgongo
Kwaniwonie kafwani loli?,Uliniona karibuni kweli?
Ini sekoghe aha nacha idime,Mimi sikua hapa nimekuja leo
Waghora unidumia magome ukafuma ikanisenyi,Amesema atanitumia pesa akitoka kanisani
Kanda mfu dideke chapati,Tengeneza unga tupike chapati
Wawerughudia sa kii.,Anatoa jasho kama nini.
Osongwa kisha ni mghenyi wake,Alishukwa vibaya na rafiki yake
Kwaki musedekie boboro?,Kwanini hamujapika pure?
Washoa mwatulituli wapo.,Amechukua simu yangu.
Odeka mwana mtini icho itwamwaa wazoghua,Alikua mtoto mdogo juzi sai amekua mtu mzima
Idime warwa nguwo ndacha,Leo amevaa nguo refu
Kukakwana ni Tole mzere ukuneke mwatulituli wapo kuniredie.,Ukiktana na Tole mwambie akupatie simu yangu uniletee
Mano ghapo gheka mavui,Vidole zangu za miguu ni fupi sana
Apa wasindekunda kughora wada?,Baba alikua anataka kusema nini?
Wasigha tindi imweri,Amewacha Nyanya Moja.
Ndokuwunjagha ichi kwanekwa.,Huwa harudishi kile umepewa.
Kamba rapo ra vadu relaghaya,Kamba zangu za viatu zilipotea
Nokumoni kwaweshoma Biblia idime?,Ni wewe ndio unasoma Biblia leo?
Koka na isu?,Ukona wazimu?
Kila mundu oko na simu,Kila mtu ako na simu
Napatire agha magome nesindelola,Nilipata pesa ambazo nilikua natafuta
Fuma shighadi.,Toka nje.
Kapata ngelo kunilole didedanye,Ukipata wakati unitafute tuongee
Dedeka dikwane lakini ndediche kwana,Ttulikua tupatane lakini hatukujapatana
Waghora unitesia badae,Alisema atanisaidia baadae
Ngelo rekama ravika,Wakati wa kukamua umefika
Ni ngelo yekwasha mabemba,Nni wakati wa kuvuna mahindi
Kwadadua kuseoghoshere vilambo?,Bado hujaosha vyombo?
Nikakola naenda kumanya kumoni.,Kama nishaenda utajua mwenyewe
Wadaka imbiri kwa kila ilagho.,Hua yuko mbele kwa kila jambo
Kwakazoya wubinafsi na ihi biashara,Umeanza ubinafsi na hii biashara
Owusa mikopo rezoya iduka,Alichukua mikopo ya kuanza duka
Vilambo vimu ndeviboie veduka worinyi,Vitu zingine si vizuri zibebwe hadharani
Chongo chapo cheka na malagho pacha.,Kichwa changu kina mambo mengi
Iridia japo jawedidia kisha,Nywele yangu inanuka vibaya sana
Iridia japo janyelwa ni vua,Nywele yangu imenyeshewa na mvua
Wadaneka posho yetesia wandu.,Alipeana chakula ya kusaidia watu
Odevavirwa ni vitoi ikwau.,Aliumizwa na wezi jana usiku.
Mwanidu waghora kunineke magome ghapo.,Ndugu yangu amesema unipatie pesa zangu.
Ndemuendeghe zighana mpira idime,Hhamkuenda kutizama mpira leo
Kudima kudumbua nyama nikuneke ndagha?,Unaweza kukata nyama nikupee kisu?
Mburi yasichwa singo putu,Mbuzi imechinjwa shingo kabisa
Ghenda tesia kufunya mburi mrongo,Nenda ukasaidie kutoa mbuzi ngozi
Mundu ukirie ndejagha bagha yadekwa,Mtu aliyeokoka hali damu iliyopikwa
Wanizera wei ureda posho kafwani,Aameniambia ataleta chakula baadae
Ini nawelemwa nibonya wada,Mimi nashindwa nifanye nini
Nderoghoagha wandu agha matuku,Hua hasalimii watu siku hizi
Kukapatwa ni shida ngera kukimbiria ani,Ukipatwa na shida sijui utamkimbilia nani
Nechi owona ukaie msaliti,Aliona akue msaliti tu
Shoa kifumbi kusee kidombo aha.,Chukua kiti uje uketi hapa
Kwaki kwawedidia maghocho huwu?,Kwanini unanuka makojo hivi?
Iasi jizamie jawefuma kwa ihi nyumba,Harufu mbaya inatoka kwa hio nyumba
Malagho gha uhu mka ghanilema,Maneno ya huyu mke yamenishinda mmi
Vijiko vapo velaghaya vose,Vijiko vyangu vimepotea vyote
Jaa na vala.,Kula na vidole.
Sahani rasia wesera awa wameria wikuneke,Sahani zimeisha ngoja wamalize wakupatie
Nechi daghorie kila mundu uche na sahani yake,Tuliesema kila mtu aje na sahani yake
Wagua sabuni ya machi,Amenunua sabuni ya maji
Nadeka kilumbwa sukari ndeiko,Nimepika nduvyaa hakuna sukari
Oka na magome shuu huwu ghamlema kutala,Ako na pesa nyingi ata zinamshinda kuhesabu
Kufuma waenda idukenyi ndeuwurie,Kutoka aende dukani hajarudi
Warugha iduka jape na kufuli ihi mbaa,Wamefunga duka lake na kufuli hio kubwa
Ughu mzi ghoka na kelele na nekunda kulala,Huu mji uko na kelele na nataka kulala
Salome wachelowolwa nembe?,Salome alikuja kuolewa kumbe?
Wasigha mwana na ani?,Ameacha mtoto na nani?
Magome gha mae ghafumie,Pesa za mama yake zilitoka
Kitoi odebwaghwa idimei.,Mwizi aliuliwa leo.
Shimba refuma rikangia mizinyi ra wandu,Simba zilitoroka zikaingia kwa miji za watu
Ola nguwe heja yamba ingie luzinyi,Ona nguruwe karibu iingie kwenye mtego
Da niko wawuya kufuma ija ngelo,Saa hizi ndo amerudi kutoka wakati ule
Siwadie magome ghangi,Sina pesa hata kidogo
Uo mundu ndeuko ngera waenda hao,Huyo mtu hayuko sijui ameenda wapi
Ini leka ninyame kima,Mimi wacha ninyamaze kimya
Navika chaghu chapo ghadi,Nimefika nusu ya kazi yangu
Mfuko ghwapo ghwatakuka,Mfuko wangu umekatika
Da kuwika vilambo hao?,Sasa utaweka wapi vitu?
Huwu kudima kuja ughu msara?,Hivi utaweza kula huu ugali?
Wadanienja kisha na ini sikunde,Hua ananipeleka vubaya na mimi sitaki
Wawebora lumbo.,Anaimba wimbo.
Nakunde kufuma nienje mwana idukenyi.,Ninataka kutoka nipeleke mtoto kwa duka.
Huwu hata kuogha kande sioghie.,Ata kuoga bado sijaoga
Leka niwone ngera uniwaghia ichi wagua,Acha nione kama atanigawia kenye amenunua
Nabwaghwa ni najala shuu,Nahisi njaa sana
Vilambo vose vasia.,Vitu zimeisha zote.
Ini sine magome ghako,Mimi sina pesa zako
Kwamneka mwai wako lufu?,Umempatia msichana wako panga?
Shoa lufu kudeme nyasi,Chukuwa panga ukate nyasi.
Mlungu unirasimia putu hata inimoni,Mungu atanibariki pia mimi
Huw oho kwakunde wada mwai wapo?,Sasa wewe unataka aje msichana wangu?
Nani wanizera nimkabe?,Nani ameniambia nimpige?
Oja sumu ela ndeufue,Alikunywa sumu ila hajafa
Wanywa machi ghilue fii.,Amekunywa maji machafu kabisa.
Fungenyi meso dilombe,Fumbeni macho tuombe
Koko na wai walinga,Ukona wasichana wangapi?
Ini kwadaniduka sa iembe,Mimi umenibeba kama maembe.
Huwu oleka kunikunda.,Hivi aliacha kunipenda
Ndekudimagha kuenda chia iwi wakati ghumweri,Hauwezi enda njia mbili wakati mmoja
Ikanisa jeaghwa na mabamba,Kanisa lilijenfwa na mabati
Ibaada ni imweri idime ikanisenyi,Leo ibaada ni moja kanisani
Vindo vawedekwa idime ikanisenyi,Chakula inapikwa leo kanisani
Nangilwa ni kijaghule cha iriso,Nimeingiwa na kijiti kwa jicho
Meso ghapo ndeghiwonagha,Macho yangu hua hayaoni
Kusekemneka ighuwa,Usimpatie muwa.
Wadaenda maghu maduu,Hua anaenda miguu chuma
Ghenda kupoise vadu vako,Nenda utengeneze viatu zako.
Wadudu wangia nyumbenyi,Wadudu wameingia chumbani
Kwaki kwawewuya wulinyi?,Mbona unarudi kitandani?
Iguo nedeka shighadi nikikabwa ni iruwa,Jana nilikua nje nikiota jua
Ini nakoja kumenywa ni wamzenyu,Mimi nimechoka kudharauliwa na watu wenu.
Wadamkaba mkwake.,Hua anamtandika bibi.
Walemwa ni kuduka machi ghake,Ameshindwa na kubeva maji yake
Otesia mae kuagha nyumba,Alisaidia mama yake kujenga nyumba
Naweenywa maghanga.,Nilikunywa madawa.
Mumi wake ndeumkunde sena,Mume wake hamtaki tena
Waghora wei olala kwa mghenyi wake,Anasema alilala kwa rafiki yake
Sikundagha makoto gha wukelu,Sipendi maswali ya kijinga
Sarimu kuaghora wuloli nama kupate wutesia,Saa zingine unasema ukweli ndio upate msaada
Siichi wandu wabonyagha wada,Sijui watu hua wanafanya aje
Waweboa kusighwa ni mumi wake ueka,Anaogopa kuachwa na mume wake
Kwawewuya saa ilinga?,Unarudi saa ngapi?
Kukalowolwa ni suti kufue mumi wako,Ukiolewa ni sharti ufue nguo za mume wako
Kudeke na kuoghoshe vilambo,Upike na uoshe vyombo
Da kwakunde nikuzere wada?,Sasa unataka nikuambie nini
Nanekwa wughanga ghwa mori mlazi,Nimepatiwa dawa za mwezi mzima.
Koka na vonda va chongo,Uko na vidonda vya kichwa
Kwalua maghu shuu.,Umechafuka miguu sana.
Kabenyi chui.,Pigeni makofi.
Nisemkuo mwafuma aha.,Nisipate mumetoka hapa.
Kwafuma hao idakoni?,Umetoka wapi saa hizi?
Oho kwasindekunda nifume hao?,Wewe ulikua unataka nitoke wapi?
Waghora hata omoni wawekunda kutima kudeka.,Amesema ata yeye anataka kujaribu kupika.
Uhu mwana wa waka uwona matuku malacha ughu mwaka,Huyu msichana wa kike ataona masiku marefu huu mwaka.
Kwaja magome rapo.,Umekula pesa zangu.
Nanekwa wughanga ghwa mori mlazi,Kisu yngu umeiweka wapi?
Kawona kwameria kuja vindo kunyo machi,Ukimaliza kula chakula kunywa maji
Wadanichea niwineke wushauri,Hua wanakuja niwapee ushauri
Siwemanya malagho ghake agha matuku,Sijui mambo yake siku hizi
Wawebora nicha kweli hata naboilwa,Anaimba vizuri ata nimefurahia
Mkwake olemwa ni kupata mwana,Bibi yake ameshindwa kupata mtoto
Owunja vilambo vedu nyumbenyi.,Alirudisha viombo zetu nyumbani.
Owuadwa ni wukongo ghwa nyodo,Alishikwa na ugonjwabwa matiti
Chaghu chaazoya kwa wen Mwaluda,Kazi imeanza kwa akina Mwaluda.
Kwagalie lii mzinyi kenyu?,Ulienda lini nyumbani kwenu?
Wandu werighita meso wawecha lawuke,Watu wa kutibu macho wanakuje kesho kutwa
Didakwana toe.,Hua tunakutana.
Ini nekunda kuniwike wa imbiri kwa agho malagho,Nataka unieke mbele kwa vitu zako zote
Shighadi yaela nani wafagia?,Nje kumetakata nani alifagia?
Nokumoni kufungue ughu mnyango?,Ni wewe ulifungua huu mlango?
Kwaki kwasigha boro mwari?,Mbona umeacha zizi wazi?
Sidimagha kukuwunja chaghunyi sena.,Siwezi kukuandika kazi tena.
Koko na ngolo iboie mwana wapo mlungu ukutesie.,Uko na roho safi mtoto wangu mungu akubariki
Kwaki kuseichi kudeka vindo mwai mbaa?,Mbona hujui kupika chkula msichana mkubwa?
Kwaki kwasigha idirisha mwari?,Mbona umeacha dirisha wazi?
Nawona kwalekeria mburi mbuwenyi,Naona umeachilia mbuzi shambani
Ni inimoni nabara icho kikombe,Ni mimi nimasua kikombe hicho
Agho nigho magome neko nagho,Hio ndio pesa niko nayo
Mwana wapo wandashoa mbande.,Mtoto wangu ameenda kuchukuwa kuni.
Apa waghora wangirie nyumba iyo mbishi,Baba amesema aliingia nyumba mpya
Waruna wafue putu ni omoni usighilo,Ndugu zake waliaga wote ni yeye amebaki
Diende dilole chai dinyo,Tuende tutafute chai tukunywe
Siwemanya ngera idime nienda ikanisenyi,Sijui kama leo nitaenda kanisani
Kwaki kwawuya nakio?,Kwanini umerudi usiku?
Koko wada mghenyi wapo?,Uko aje rafiki yangu?
Owinga mka kasighwa na wana wake,Alifukuza bibi yake akabaki na watoto wake
Angu kusewedeka kufume irikonyi,Kama hupiki utoke jikoni
Agha matuku wajosa mavuda tiki.,Siku hizi wamepandisha bei ya mafuta kabisa.
Onikalia wei ikwau wedeniwona nikijoka mdinyi.,Alinidanganya ati jana waliniona nikipanda mti.
Kuseke bonya seji wawebonya.,Usifanye vile wanafanya.
Kanineka kilambo kuseende kukighoria wandu.,Ukinipea kitu usiende lutangaza
Daweenda sena?,Tunaenda tena?
Idimei siwewona dikiendanya.,Leo sioni tukienda pamoja
Ini nawona nilala itakoni nawedungumia,Mimi naona nitalala sai mi nasinzia
Lumalwakenyi dija kii?,Jioni tutakula nini?
Seji kwacha huwu nguwo rako riao?,Vile umekuja hivi nguo zako ziko wapi?
Nighoree ngera kesho kokwaeni niche?,Niambie kama kesho uko nije?
Simamenyi dibore chumbo iwi,Simameni tuimbe nyimbo mbili
Madu ghako ndeghisikiragha agha matuku wele?,Masikio yako siku hizi hua hayasikii kwani?
Ijo ituku kwaghora nechi kukaia kokwaeni?,Hio siku umesema utakua?
Kwawedinonea irina jha mao,Unatuharibia jina la mama.
Iro nguwo sirikunde sena mana redelaghaya,Hizo nguo sizitaki tena maana zilikua zimepotea
Mwabonyere nicha kucha aha.,Mlifanya vizuri kukuja hapa.
Naboilwa kukaia kindo chimweri na oho,Nafurahi kukaa mahali pamoja na wewe
Igare japo jasia mavuda,Gari langu limeisha mafuta
Kila mundu nyumbenyi oka nicha?,Kila mtu alifika nyumbani salama?
Ikwau defuma nakio kwa ijo ikusanyiko,Tulitoka usiku kwa mkutano huo
Agha malagho ghanisira ndighi,Haya maneno yamenishinda akili mimi
Wanidumia magome ghisewekata,Amenitumia pesa ambazo hazitoshi
Waghora okunda marina gha wandu.,Anasema anataka majina ya watu.
Nikudumie magome na namba iyao?,Nikutumie pesa na namba gani?
Dakulombia Mlungu ukutesie.,TunakuombeaMungu akusaidie
Bagha yalemere kuchumba machi,Damu ni nzito kuliko maji
Nasikira maghu ghapo ghasilwa kweli,Nahisi miguu zangu zamechoka
Kwazighana ngera machi ghachua?,Umeangalia maji kama yamejaa?
Sikunde malagho na oho,Sitaki mambo na wewe
Kwaki kusenikotere?,Mbono haujaniuliza?
Dimkabie chui mana wabonya nicha,Tumpigie makofi maana amefanya vizuri
Wafunya mifuko idadu ya posho.,Wametoa mifuko tatu za chakula.
Idime deka na mchango ghwa vijana,Leo tuko na mchango wa vijana
Kwalala na kwasigha machi shighadinyi,Umelala na umeacha maji nje
Ghenja kiriba chapo aisaa.,Peleka mtungi wangu kule.
Kwaki kwaungua machi ghapo?,Mbona umechotelea maji yangu
Kawona nakalala koniwusira.,Ukiona ninalala niamshe
Sidimagha kukuwusira mana inmoni nawekunda kulala.,Siwezi kukuamusha maana atamimi nitaka kulala.
Bonya kuneke mwana vido.,Fanya upatie mtoto chakula.
Tangala iro mburi risengie mbuwenyi,Zuia hizo mbuzi zisiingie shambani
Mabonyo mecha ghadalipwa ni Mulungu,Matendo mema hua yanalipwa na mungu
Kusekaie mundu wa nganyi,Usikue mtunwa ubishani
Muzi ghosigharika ghueka itanaa,Mji ulibaki pekee kwa sasa
Wuka kunitesie kubonya ichi chaghu,Amka unisaidie kufanya hii kazi
